source,target,weight
67341,156115845,134
67341,163083474,122
67341,167995034,115
67341,177563280,116
67341,202747756,116
67341,204001488,97
67341,209348535,96
67341,210709821,143
67341,219448811,142
67341,233282882,135
67341,241321211,88
67341,245599307,109
67341,273053830,122
67341,274079088,107
67341,276330574,144
67341,278182618,133
67341,286433067,133
67341,307912013,130
67341,366519958,112
67341,368301777,102
67341,413365702,102
67341,487887760,96
67341,513576494,115
67341,516871748,114
67341,547882721,112
203251,241044,123
203251,250674,64
203251,276308,122
203251,307685,96
203251,341135,65
203251,385125,73
203251,490434,104
203251,515201,138
203251,654310,101
203251,780960,101
203251,807635,112
203251,848668,123
203251,880518,114
203251,895583,83
203251,902967,68
203251,939604,46
203251,1025204,77
203251,1247733,57
203251,1355949,60
203251,1493725,76
203251,1554549,80
203251,1704386,77
203251,1747883,73
203251,1792593,90
203251,1929132,63
203251,1974229,75
203251,1996745,15
203251,2208815,65
203251,2347118,22
203251,2447361,58
203251,2550295,87
203251,2612212,67
203251,2720714,62
203251,2758712,35
203251,2946860,79
203251,2972115,39
203251,3125825,85
203251,3170996,57
203251,3402139,88
203251,3445658,66
203251,3482626,31
203251,3508411,81
203251,3551884,67
203251,3566164,70
203251,3914635,12
203251,3935619,70
203251,3940488,64
203251,4278433,51
203251,4728372,76
203251,5435544,46
203251,5628750,83
203251,5909740,59
203251,6013145,81
203251,6120703,57
203251,6209055,80
203251,6471245,46
203251,6759373,73
203251,7258903,73
203251,7386595,12
203251,7464607,61
203251,8057165,54
203251,8928644,78
203251,9149262,83
203251,9158973,65
203251,9269323,54
203251,9405579,70
203251,9835023,86
203251,10430931,63
203251,10518385,68
203251,11210076,69
203251,11324974,72
203251,11335169,52
203251,13016094,45
203251,14189070,73
203251,15632406,37
203251,17148957,68
203251,18233990,29
203251,19295034,69
203251,19527481,35
203251,20847375,81
203251,20860636,65
203251,22340296,49
203251,23110383,34
203251,23475292,33
203251,23759726,47
203251,25153016,55
203251,26612772,79
203251,27113401,47
203251,28461301,68
203251,28571706,84
203251,29152006,61
203251,30657250,64
203251,32015730,76
203251,32114010,72
203251,33979139,74
203251,34485997,60
203251,39850798,77
203251,53514759,76
203251,57453426,50
203251,72608525,76
203251,73907780,44
203251,74690457,26
203251,83874759,78
203251,88446514,67
203251,92711203,16
203251,93396188,5
203251,109507068,59
203251,110305573,58
203251,134011850,10
203251,134078767,48
203251,134534343,144
203251,136560781,92
203251,152791599,123
203251,154584279,173
203251,156115845,103
203251,162058080,51
203251,162562150,167
203251,163083474,179
203251,164551955,67
203251,164753298,183
203251,167995034,87
203251,171547707,152
203251,177563280,192
203251,181121949,148
203251,181724659,136
